movie,task,segment_coarse.rt,segment_fine.rt,order,sub
1.2.3,segment,"[57.669840276998, 81.51785120900604, 151.8858441420016, 275.7178547680087, 339.5018914500106, 441.39788360100647, 576.8619235240039]",,coarse_fine,e152014
6.3.9,segment,"[282.6062051320041, 303.0382134160027, 442.48621021000145, 526.8542314310034, 670.9022617770097]",,coarse_fine,e152014
3.1.3,segment,"[69.7563685310015, 170.71636957400187, 343.0763525469956, 415.2203888780059, 460.67637360599474, 570.1163909050083]",,coarse_fine,e152014
2.4.1,segment,"[223.72612999900593, 333.2781553399982, 358.7581830830022, 401.51017060200684, 531.9101804319944, 579.8541928839986, 627.8621957599971]",,coarse_fine,e152014
1.2.3,segment,,"[58.217982568006846, 81.03399860499485, 88.68998052600364, 92.35399272400537, 146.32198668499768, 225.89802061200317, 271.1860017449944, 303.2100162190036, 337.0340331890038, 379.322041396008, 427.81802246399457, 506.13005907900515, 577.1700499370054]",coarse_fine,e152014
6.3.9,segment,,"[54.06606079199992, 201.95405523199588, 271.30606391699985, 301.1940658599924, 356.6740850799979, 415.61808692298655, 525.978121490989, 604.2501092029997, 662.1061177789961, 668.7301174619934]",coarse_fine,e152014
3.1.3,segment,,"[21.046328598997206, 28.366329604003113, 69.29433911699743, 79.99833628100168, 131.44631760800257, 153.63832815000205, 185.36635763800587, 329.3663773879962, 351.1183789600036, 408.1423849529965, 434.2783639450063, 455.81438586600416, 476.2703754450049, 566.1423945819988, 581.158399959997]",coarse_fine,e152014
2.4.1,segment,,"[10.442563689997769, 78.65860211200197, 216.20261857799778, 329.85062007298984, 345.6666297699994, 358.20261455498985, 400.35462103599275, 531.0666568059969, 581.1946477570018, 627.282671886991, 640.1146575110033]",coarse_fine,e152014
1.2.3,segment,"[-2.4762012700011837, 130.08381142000144, 157.9878435799983, 269.2198638990012, 434.48386078600015, 507.4358817540051, 578.1958756810054]",,coarse_fine,e152016
6.3.9,segment,"[-0.2621688979997998, 280.6578510840045]",,coarse_fine,e152016
3.1.3,segment,"[-4.41838319299859, -0.9063904020003974, 170.59764204300154, 522.1416740339992]",,coarse_fine,e152016
2.4.1,segment,"[-5.777044214999478, 79.50296391099982, 395.61499126100534]",,coarse_fine,e152016
